user_id,visit_freq,home_dist,work_dist,CIVIC_RELIGION,CULTURE,DINING,EDUCATION,FITNESS,GROCERIES,HEALTHCARE,PARK,RETAIL,SERVICE,TOURISM,TRANSPORT
8b22bd85-2037-40e4-bd60-ccb9d88e6713,3,1514.106343,850.6363621,0,0,2,5,3,0,0,0,1,11,0,1
8b22bd85-2037-40e4-bd60-ccb9d88e6713,1,1418.922029,886.0057103,0,0,3,5,2,0,0,0,1,9,0,1
8b22bd85-2037-40e4-bd60-ccb9d88e6713,1,1523.351559,968.1437366,0,0,6,5,3,0,0,0,2,13,0,2
8b22bd85-2037-40e4-bd60-ccb9d88e6713,1,298371.0953,299493.5552,1,0,3,3,2,2,3,0,7,15,0,8
8b22bd85-2037-40e4-bd60-ccb9d88e6713,1,1434.580432,160.5599416,0,0,3,3,0,2,3,0,5,19,0,5
8b22bd85-2037-40e4-bd60-ccb9d88e6713,2,570.6737129,1024.11392,0,0,4,3,1,3,0,0,2,10,0,3
8b22bd85-2037-40e4-bd60-ccb9d88e6713,1,3650.528442,2683.858186,3,0,7,9,2,0,2,0,3,10,1,1
964b9ec9-2dfb-420c-afb3-d136dfc90806,2,13284.65987,26.12803406,3,1,11,8,3,7,1,0,7,10,3,16
964b9ec9-2dfb-420c-afb3-d136dfc90806,1,1885.423078,75.69734481,0,0,5,5,2,5,2,0,0,6,0,3
964b9ec9-2dfb-420c-afb3-d136dfc90806,1,2061.200773,376.3547678,0,0,4,2,2,4,2,0,0,9,0,3
964b9ec9-2dfb-420c-afb3-d136dfc90806,9,1784.873596,14805.33392,0,0,5,4,2,4,2,0,0,5,0,2
964b9ec9-2dfb-420c-afb3-d136dfc90806,3,2154.205769,13952.0726,0,0,4,0,2,4,2,0,0,8,0,3
964b9ec9-2dfb-420c-afb3-d136dfc90806,25,22.88435278,13298.20248,1,0,0,0,0,0,0,0,0,1,0,0
9652d7c2-ca3a-454d-b102-80895aea7850,2,66.4980863,4882.925354,1,1,0,2,0,0,4,0,1,3,1,0
9652d7c2-ca3a-454d-b102-80895aea7850,6,63.18221885,4970.01638,1,1,0,0,0,0,2,0,1,2,1,0
9652d7c2-ca3a-454d-b102-80895aea7850,2,425.3121441,4578.147012,1,1,1,3,0,2,1,0,0,3,2,0
9652d7c2-ca3a-454d-b102-80895aea7850,1,4849.308165,63.80794548,0,0,2,0,1,0,0,0,1,5,1,3
9652d7c2-ca3a-454d-b102-80895aea7850,1,4966.215708,54.48441136,0,0,2,0,1,0,0,0,1,5,1,3
9652d7c2-ca3a-454d-b102-80895aea7850,12,24041.1695,32.58638345,1,0,1,0,0,0,0,0,4,3,0,3
9652d7c2-ca3a-454d-b102-80895aea7850,22,50.96544623,23988.87448,0,0,0,1,0,0,0,0,0,3,0,5
9652d7c2-ca3a-454d-b102-80895aea7850,5,28795.72243,18.43102146,2,3,5,3,3,1,1,0,6,15,0,4
